,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2023-12-16,12956.0,6332.0,43135.0,2597.0,4381.0,998.0,4980.0,4912.0,96.0,107.22757583749993
2023-12-17,12562.0,6706.0,43172.0,1987.0,4375.0,1113.0,5087.0,4960.0,103.0,119.3494187249999
2023-12-18,16119.0,7859.0,43162.0,2546.0,5561.0,2458.0,5554.0,5097.0,100.0,216.8401129374999
2023-12-19,13816.0,6805.0,43163.0,2208.0,5150.0,1390.0,5068.0,5096.0,106.0,159.1562249249999
2023-12-20,17495.0,9009.0,43092.0,2582.0,6691.0,2831.0,5391.0,5819.0,117.0,218.03965957499986
2023-12-21,14737.0,7039.0,43129.0,2290.0,5344.0,1713.0,5390.0,5136.0,107.0,143.81301002499987
2023-12-22,13766.0,6748.0,43035.0,2638.0,4848.0,1180.0,5100.0,5063.0,101.0,164.8581197874999
2023-12-23,13481.0,6524.0,43185.0,2451.0,4995.0,923.0,5112.0,5092.0,98.0,107.3510665374999
2023-12-24,13431.0,6669.0,43116.0,2313.0,4695.0,1308.0,5115.0,4976.0,98.0,120.5952377374999
2023-12-25,12958.0,6428.0,43154.0,2257.0,4725.0,1072.0,4904.0,4985.0,102.0,119.47871487499991
2023-12-26,13655.0,6577.0,43160.0,2363.0,4939.0,1411.0,4942.0,5064.0,101.0,148.2681332124999
2023-12-27,16981.0,8906.0,43128.0,2854.0,7315.0,1061.0,5751.0,5672.0,96.0,115.58036033749985
2023-12-28,15805.0,8293.0,43126.0,2524.0,6142.0,1287.0,5852.0,5146.0,102.0,142.71522566249988
2023-12-29,14644.0,7451.0,42752.0,2341.0,6055.0,1031.0,5217.0,5147.0,109.0,411.22734948749985
2023-12-30,14028.0,7646.0,42454.0,1809.0,5948.0,927.0,5344.0,4865.0,102.0,461.0477884874999
2023-12-31,14372.0,7676.0,42436.0,1917.0,6041.0,1179.0,5235.0,4887.0,94.0,475.76461282499986
2024-01-01,8518.0,2427.0,42514.0,1930.0,6117.0,74.0,397.0,1715.0,84.0,399.34938509999984
2024-01-02,14689.0,7754.0,42762.0,2442.0,7068.0,100.0,5079.0,5920.0,92.0,235.93394093749984
2024-01-03,26510.0,7086.0,43036.0,14598.0,5613.0,1052.0,5247.0,4889.0,108.0,161.45378577499986
2024-01-04,59646.0,8334.0,42992.0,44903.0,6698.0,2496.0,5549.0,5043.0,116.0,301.93492469999984
