,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
157,2023-06-30,67602,409.1098782999997,16722,51305,84324,70415.28571428571,84578.96666666666,220.583812817857,241.35700375916653
158,2023-07-01,93303,305.63570811249986,17556,49379,110859,70176.57142857143,86119.3,187.52047382678555,246.3566630654165
159,2023-07-02,92967,254.5169886124999,12549,47670,105516,76161.71428571429,87531.1,213.15714958749984,249.94412306249987
160,2023-07-03,94154,260.70585693749985,16357,49701,110511,83550.0,89110.9,233.14701221428555,253.87801931416652
161,2023-07-04,90939,307.9910874624998,19370,51848,110309,90864.28571428571,90721.36666666667,266.83932473035696,260.1536852724999
162,2023-07-05,92850,253.36756822499987,16024,49222,108874,98251.28571428571,91813.53333333334,283.60057972142846,261.3924015133332
163,2023-07-06,93792,284.26337691249984,18699,48392,112491,106126.28571428571,93309.36666666667,296.5129235089284,265.25523793624984
164,2023-07-07,92596,336.5655027874999,16279,51356,108875,109633.57142857143,94826.16666666667,286.149441292857,271.1074580420832
165,2023-07-08,91979,200.0943084874999,16648,53121,108627,109314.71428571429,95580.56666666667,271.0720984892856,271.7892747916665
166,2023-07-09,92974,185.9718748999999,12577,49787,105551,109319.71428571429,95536.36666666667,261.2799393874999,258.67512427999986
167,2023-07-10,94250,329.93960486249983,16748,50382,110998,109389.28571428571,96296.66666666667,271.170474805357,257.7783700041665
168,2023-07-11,93715,252.50757809999985,15071,49127,108786,109171.71428571429,97900.3,263.24425918214274,262.10237870624985
169,2023-07-12,93140,196.8473000124999,8194,44280,101334,108094.57142857143,98128.93333333333,255.16993515178555,252.5176527762499
170,2023-07-13,93729,302.3837349874999,22941,55250,116670,108691.57142857143,98628.93333333333,257.75855773392846,253.75239522333322
171,2023-07-14,93938,266.85434323749985,15807,49763,109745,108815.85714285714,99290.0,247.79982065535705,253.68098530499987
172,2023-07-15,93372,240.97058681249987,15860,49205,109232,108902.28571428571,99125.83333333333,253.63928898749987,251.26917001208318
173,2023-07-16,92978,186.8122597374999,13187,49361,106165,108990.0,99054.7,253.7593439642856,249.15308650249983
174,2023-07-17,94824,328.90809414999984,18852,50738,113676,109372.57142857143,99311.2,253.6119852910713,252.22102488749988
175,2023-07-18,95047,306.22001037499984,18614,50677,113661,110069.0,99599.33333333333,261.2851899017856,255.75057415791653
176,2023-07-19,94289,209.56700377499988,13357,49169,107646,110970.71428571429,99536.9,263.1022904392856,254.55327020499988
177,2023-07-20,94465,222.28307751249983,14439,49839,108904,109861.28571428571,99747.76666666666,251.65933937142842,254.17516150541653
178,2023-07-21,93972,256.5324192124999,15016,49116,108988,109753.14285714286,100207.86666666667,250.18477879642842,255.30382962833318
179,2023-07-22,93761,212.28334449999988,13495,49714,107256,109470.85714285714,100122.1,246.08660132321415,252.51602839916652
180,2023-07-23,93501,218.2321695749999,13163,49758,106664,109542.14285714286,100141.5,250.57515987142844,248.78468296708317
181,2023-07-24,96032,218.21535027499985,11293,44260,107325,108634.85714285714,99968.0,234.76191074642844,238.15589194124988
182,2023-07-25,94275,231.27358001249988,14392,49210,108667,107921.42857142857,101469.56666666667,224.0552778374999,243.3630026654165
183,2023-07-26,94772,190.6561581749999,12153,48934,106925,107818.42857142857,103073.96666666666,221.35372846607132,245.69231398624987
184,2023-07-27,94412,323.16687432499987,14856,49460,109268,107870.42857142857,104745.93333333333,235.76569943928558,254.05971313541656
185,2023-07-28,67740,167.37880014999988,13481,49404,81221,103903.71428571429,105547.8,223.02946814464275,255.10438036416653
186,2023-07-29,48995,101.6025440374999,11237,48939,60232,97186.0,105643.33333333333,207.21792522142846,252.02856615208322
187,2023-07-30,49472,140.3980607374999,12801,49401,62273,90844.42857142857,104908.3,196.09876681607128,243.07150556666653
188,2023-07-31,79975,266.33260034999984,16695,49183,96670,89322.28571428571,104435.33333333333,202.97265968392844,241.7614019745832
189,2023-08-01,91333,279.18314726249986,14564,49629,105897,88926.57142857143,104448.03333333334,209.81688357678559,242.5836072629165
190,2023-08-02,99362,277.4290039249997,12913,56195,112275,89690.85714285714,104506.83333333333,222.2130043982141,243.1410454958332
191,2023-08-03,100009,337.4506146499997,19654,61413,119663,91175.85714285714,104818.63333333333,224.25353873035695,244.1230297354165
192,2023-08-04,93598,269.55347267499985,17389,50555,110987,95428.14285714286,104889.06666666667,238.84992051964267,244.66255988374985
193,2023-08-05,92520,193.1254567749999,13082,49448,105602,101909.57142857143,104659.43333333333,251.9246223392855,241.62462921249985
194,2023-08-06,92423,186.5289840999999,12811,49308,105234,108046.85714285714,104538.06666666667,258.5147542482141,236.62341192291655
195,2023-08-07,88358,287.32507439999983,13988,49182,102346,108857.71428571429,104328.7,261.5136791124998,239.53110411999987
196,2023-08-08,92839,221.85423799999987,15048,50136,107887,109142.0,104406.56666666667,253.3238349321427,240.72718288999985
197,2023-08-09,92661,195.4713883874999,7086,43732,99747,107352.28571428571,104031.53333333334,241.6156041410713,236.24490900749984
198,2023-08-10,91190,208.2603563374999,13007,49515,104197,105142.85714285714,103878.56666666667,223.15985295357132,234.77000161541656
199,2023-08-11,77778,177.4791583874999,11968,49753,89746,102108.42857142857,103492.3,210.00637948392844,234.12439689458319
200,2023-08-12,91734,163.6525158624999,11104,48986,102838,101713.57142857143,103031.23333333334,205.79595935357133,229.50002292374984
201,2023-08-13,94300,207.6112515374999,13861,49247,108161,102131.71428571429,102978.43333333333,208.80771184464274,227.52525320041653
202,2023-08-14,94610,284.1964961624999,14848,49778,109458,103147.71428571429,102985.96666666666,208.36077209642846,228.9661168454165
203,2023-08-15,88031,224.1850507374999,18467,54463,106498,102949.28571428571,102997.06666666667,208.69374534464276,230.21187654541654
204,2023-08-16,49540,173.14212489999989,9177,43874,58717,97087.85714285714,101165.1,205.50385056071417,225.01967757041652
205,2023-08-17,50297,253.4286111999999,20503,54534,70800,92316.85714285714,99736.4,211.95645839821418,223.2599642645832
206,2023-08-18,49524,160.8054641749999,13482,48955,63006,88496.85714285714,98248.4,209.57450208214277,221.63457961124988
207,2023-08-19,48970,125.17037822499992,12705,49498,61675,82616.42857142857,96674.1,204.0770538482142,218.39748963499989
208,2023-08-20,48872,128.0094418749999,12867,50264,61739,75984.71428571429,95099.13333333333,192.70536675357133,214.11339039041653
209,2023-08-21,63471,222.67683052499987,14301,49020,77772,71458.14285714286,94116.33333333333,183.91684309107134,214.4598399245832
210,2023-08-22,92471,220.35696657499992,13458,49856,105929,71376.85714285714,94091.83333333333,183.3699739249999,214.5306664912499
211,2023-08-23,92694,197.6381536874999,13232,49184,105926,78121.0,94045.2,186.8694066089285,213.84475993833317
212,2023-08-24,92413,201.26044751249992,12522,49428,104935,82997.42857142857,93920.8,179.41681179642848,212.8443221883332
213,2023-08-25,92464,165.82885192499992,11551,49063,104015,88855.85714285714,93823.8,180.13443861785706,212.0167453133332
214,2023-08-26,57455,116.52247697499992,11623,49233,69078,89913.42857142857,92484.13333333333,178.89902415357133,205.12859873499988
215,2023-08-27,48628,108.53127699999992,11559,49292,60187,89691.71428571429,91783.0,176.1164291714285,203.16701462999987
216,2023-08-28,48961,135.4962913749999,12920,49526,61881,87421.57142857143,91837.96666666666,163.66206643571422,204.29680620791655
217,2023-08-29,49348,187.7361487749999,14265,49722,63613,81376.42857142857,91882.63333333333,159.00194960714276,205.87474247583322
218,2023-08-30,50181,178.01137898749988,15992,50096,66173,75697.42857142857,90866.06666666667,156.1981246499999,202.93070176374988
219,2023-08-31,50294,149.66621482499986,13216,49154,63510,69779.57142857143,89453.16666666667,148.82751998035704,198.6134706824999
220,2023-09-01,49486,119.12136521249992,7368,44291,56854,63042.28571428572,87605.8,142.15502187857132,193.3365493920832
221,2023-09-02,48866,126.6239295749999,11825,49298,60691,61844.142857142855,85640.06666666667,143.5980865357142,186.30899322291654
222,2023-09-03,48412,122.77159481249991,10630,49055,59042,61680.57142857143,83908.56666666667,145.6324176517856,181.41626396083322
223,2023-09-04,51123,179.39990414999986,15844,49555,66967,62407.142857142855,82620.73333333334,151.90436233392847,180.9587455399999
224,2023-09-05,48706,125.78106714999991,12309,49099,61015,62036.0,81146.76666666666,143.0536363874999,178.93381497499988
225,2023-09-06,49379,119.5225764999999,11739,48973,61118,61313.857142857145,79772.5,134.69809317499988,173.34039837833322
226,2023-09-07,49687,121.93508346249988,11404,49083,61091,60968.28571428572,78212.63333333333,130.73650298035702,170.0097598937499
227,2023-09-08,49172,112.45293134999991,11968,49043,61140,61580.57142857143,76925.73333333334,129.78386957142848,167.24247799249991
228,2023-09-09,48579,123.32194202499991,11261,48851,59840,61459.0,75447.16666666667,129.3121570642856,164.41119751541655
229,2023-09-10,49182,121.7313217499999,11904,49230,61086,61751.0,74491.83333333333,129.1635466267856,162.55293629416659
230,2023-09-11,51697,168.59483677499986,15107,49160,66804,61727.71428571428,73290.7,127.61996557321417,162.71768032458326
231,2023-09-12,49459,125.2877858874999,12348,49143,61807,61840.857142857145,71745.56666666667,127.54949682142846,159.97356480291657
232,2023-09-13,48856,109.50371723749991,6648,43512,55504,61038.857142857145,69947.1,126.11823121249991,154.15047217208323
233,2023-09-14,49750,162.1914982499999,17445,54199,67195,61910.857142857145,68637.0,131.86914761071418,152.08402042249992
234,2023-09-15,49683,191.2862241874999,15262,49052,64945,62454.42857142857,68844.6,143.1310465874999,152.68882373208325
235,2023-09-16,49249,139.4454659749999,12644,49123,61893,62747.71428571428,68547.7,145.43440715178562,148.8893855579166
236,2023-09-17,49264,145.42282161249992,13099,50091,62363,62930.142857142855,68526.26666666666,148.81890713214275,148.37663080583323
237,2023-09-18,50480,132.91049571249988,14179,49074,64659,62623.71428571428,68625.73333333334,143.72114412321417,148.63463472208323
238,2023-09-19,48971,137.2788524874999,12446,48939,61417,62568.0,68615.0,145.43415363749992,148.94361507583324
239,2023-09-20,49458,151.2483415374999,13405,49098,62863,63619.28571428572,68118.03333333334,151.39767139464274,146.56266544291657
240,2023-09-21,49311,160.1777956249999,12744,49094,62055,62885.0,66655.56666666667,151.10999959107133,144.55669307791655
241,2023-09-22,49413,120.05361342499992,11838,48941,61251,62357.28571428572,65166.4,140.93391233928563,141.97054173583325
242,2023-09-23,48953,97.60749444999992,11084,48967,60037,62092.142857142855,63669.8,134.95705926428562,138.5154433004166
243,2023-09-24,48957,115.80657163749991,11411,49026,60368,61807.142857142855,62214.9,130.72616641071417,136.8480339574999
244,2023-09-25,50702,150.13408431249988,13665,49165,64367,61765.42857142857,62057.86666666667,133.18667906785706,137.96842086874992
245,2023-09-26,48158,102.92705106249991,6651,43711,54809,60821.42857142857,61878.6,128.2792788642856,137.7816133374999
246,2023-09-27,47809,68.10701186249993,5038,43667,52847,59390.57142857143,61577.46666666667,116.40194605357134,135.5353040204166
247,2023-09-28,47961,201.2522040374999,5999,43538,53960,58234.142857142855,61255.7,122.26971868392847,135.98583919583322
248,2023-09-29,48551,82.47455587499992,5679,43570,54230,57231.142857142855,60857.6,116.90128189107135,132.80127842541657
