validator,validator_name,date,votes
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-10,142754.4004107249
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-11,34515.04019051213
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-12,3974.378732408186
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-13,104865.19414412868
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-14,133959.584426024
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-15,219725.05403642965
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-16,236283.5503299768
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-17,113286.3231532787
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-18,59874.89153601584
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-19,261058.08960300146
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-20,464209.9842345439
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-21,-15963.740670005942
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-22,105260.54732642346
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-23,-61391.46603164914
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-24,-166057.83476001074
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-25,137451.06858659544
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-26,472374.14565194
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-27,93301.15645064526
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-28,137277.30893951378
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-29,-45745.213453623124
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-30,219832.21499866614
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-01,126906.78259149226
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-02,174326.44528000304
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-03,48319.026818949715
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-04,8579.143494653217
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-05,143141.10145335138
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-06,114358.67674421272
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-07,141571.57626640212
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-08,33957.361524891836
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-09,-129457.90593913369
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-10,67361.5726977719
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-11,261808.93709504025
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-12,-31780.313414751374
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-13,57955.07618390298
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-14,84765.00870999036
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-15,123647.38712362314
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-16,66133.43055995775
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-17,147389.82751212272
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-18,60099.776393788576
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-19,52991.86106854032
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-20,298620.7421284047
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-21,175339.8046967033
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-22,-81302.0946612572
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-05-23,42900.65813041138
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-08-26,7462264.922199996
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-08-27,1277401.4499999995
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-08-28,392117.2507999996
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-08-29,568501.4695000001
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-08-30,264541.34080000006
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-08-31,328077.3887
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-01,233520.47640000004
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-02,-3057.8805999999963
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-03,-16882.845900000008
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-04,312651.32580000005
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-05,2042320.3026000005
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-06,-262147.6657999999
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-07,183130.01540000006
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-08,49236.57229999999
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-09,626720.3829
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-10,11371.250399999992
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-11,461877.46530000004
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-12,430575.6484
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-13,25376.430899999996
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-14,191525.5203
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-15,358424.63909999985
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-16,235006.01059999978
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-17,-5287.316700000008
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-18,91459.76879999999
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-19,80231.50209999997
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-20,55344.61170000001
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-21,-2999.544099999994
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-22,17547.13580000001
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-23,-18886.86870000008
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-24,216944.563
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-25,-4974.124600000021
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-26,48802.55690000002
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-27,33250.10250000001
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-28,-470063.5931
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-29,51034.227
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-09-30,9871.093900000009
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-01,54476.363
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-02,-10175.561999999978
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-03,109380.30649999999
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-04,-17737.827999999998
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-05,-6834.8125
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-06,7303.727899999998
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-07,573854.0129000001
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-08,-13609.846199999996
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-09,-37771.72069999999
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-10,6352.273
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-11,-135121.97750000004
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-12,24604.46339999999
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-13,22116.97697376
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-14,17027.8004
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-15,-70629.39269999998
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-16,23981.946600000003
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-17,-687.6972999999998
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-18,27207.117400000003
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-19,-57197.49157376
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-20,38241.2554
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-21,-22680.856499999998
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,2019-10-22,-89092.59069999997
